"year","south.sst.ndjfm","south.sst.amj","north.sst.ndjfm","north.sst.amj","AO.jfm","SE.wind.Oct.Apr","NW.wind.Oct.Apr","SE.wind.May.Sep","NW.wind.May.Sep","summer.cold.pool.extent","summer.bottom.temp","ice.area.jfma","m8.march.ice","m5.march.ice","m4.march.ice","maisie.ice.extent.jfma","north.wind.stress.amj","south.wind.stress.amj","M2.JFMAM.60.72m.temp","M2.JFMAM.10.15m.salinity","M2.JAS.10.15m.salinity","M2.JFMAM.40.55m.salinity","M2.JAS.40.55m.salinity","M2.OND.40.55m.salinity"
1951,0.562546858964143,1.11727119227986,-1.54745385402983,-1.5886683030562,-0.805,0.159326311169629,0.104772876892693,0.144301075268817,0.0913978494623656,NA,NA,NA,56,43,19,NA,0.0733497376025089,0.0468498424135215,NA,NA,NA,NA,NA,NA
1952,1.28656132706889,1.13550135953191,-1.35133865800771,-1.49721614880995,-1.08066666666667,0.193315323904868,0.22493776153398,0.203440860215054,0.209032258064516,NA,NA,NA,53,42,21,NA,0.0445213660394359,0.039962740805405,NA,NA,NA,NA,NA,NA
1953,0.985918563162839,2.69574746931041,-1.60139673406428,-0.764500162818215,-0.073,0.188457318411235,0.131742374369102,0.210322580645161,0.156129032258065,NA,NA,NA,67,44,9,NA,0.0627604053887586,0.0375004386545637,NA,NA,NA,NA,NA,NA
1954,0.897759750154283,2.37541499329202,-1.50360445813699,-0.254071604121815,0.049,0.18898398068905,0.164274742154926,0.124516129032258,0.207956989247312,NA,NA,NA,57,47,28,NA,0.0313919446013839,0.0423103186761503,NA,NA,NA,NA,NA,NA
1955,1.05501024502295,1.76163639992843,-1.5212989799001,-0.665141820907593,-1.42333333333333,0.195918367346939,0.102797893350889,0.23505376344086,0.164301075268817,NA,NA,NA,57,46,18,NA,0.0568756092422504,0.0384132883321096,NA,NA,NA,NA,NA,NA
1956,0.494004276063707,2.43506847929071,-1.61316108839078,0.681026079437949,-0.92,0.243535144869961,0.121987393400074,0.261505376344086,0.158064516129032,NA,NA,NA,81,53,25,NA,0.0661496554325197,0.0371826840625316,NA,NA,NA,NA,NA,NA
1957,0.571386767316748,3.20330281684428,-1.77518493912437,0.430734945066047,-0.486666666666667,0.13010752688172,0.184342769365811,0.176344086021505,0.129677419354839,NA,NA,NA,87,58,35,NA,0.0525353738088467,0.0418148441652281,NA,NA,NA,NA,NA,NA
1958,1.80405536293983,3.37707092585387,-0.611222902211276,1.72621550885114,-2.06333333333333,0.122865920561773,0.155058152293175,0.22752688172043,0.104731182795699,NA,NA,NA,56,42,32,NA,0.0679905085993005,0.0615203762855217,NA,NA,NA,NA,NA,NA
1959,0.976729660122483,2.23279522285785,-1.59093573310158,-0.972500042481856,0.653333333333333,0.163748079877112,0.147048496818082,0.288817204301075,0.118279569892473,NA,NA,NA,18,29,22,NA,0.067955685779362,0.0378014312523246,NA,NA,NA,NA,NA,NA
1960,1.25378346986793,2.52191508772932,-1.26437643495473,1.0237563270511,-2.10333333333333,0.12276603633667,0.136940515917157,0.281720430107527,0.143010752688172,NA,NA,NA,78,48,7,NA,0.0577460994390566,0.0428833493499136,NA,NA,NA,NA,NA,NA
1961,1.27556737727589,2.46349670783973,-1.64811362353238,-0.239233880332022,-0.182666666666667,0.184189159534782,0.149615975422427,0.163440860215054,0.182365591397849,NA,NA,NA,54,39,7,NA,0.0398015203495842,0.0389749575419805,NA,NA,NA,NA,NA,NA
1962,1.35408002005683,1.73412681840084,-1.60158605033701,-0.439758342323881,-0.522666666666667,0.150109721307878,0.170945797673908,0.308602150537634,0.221505376344086,NA,NA,NA,10,4,0,NA,0.0446733276220742,0.0560120752918514,NA,NA,NA,NA,NA,NA
1963,1.29833475130576,2.20999919475965,-1.46319884766232,0.449730609402512,-1.43533333333333,0.173985077902129,0.139697169190257,0.22989247311828,0.143655913978495,NA,NA,NA,57,20,16,NA,0.0380121426381966,0.0380788968822035,NA,NA,NA,NA,NA,NA
1964,1.36136921114392,2.46903719283916,-1.64314615401355,-1.53420086701711,-0.249333333333333,0.226834048413581,0.131039779649346,0.208817204301075,0.20258064516129,NA,NA,NA,74,54,6,NA,0.0614654312906906,0.0374844296779994,NA,NA,NA,NA,NA,NA
1965,1.1434530682034,2.0703532335199,-1.69919511296532,-0.589890165762468,-1.345,0.184529295589203,0.126486723721747,0.15010752688172,0.19010752688172,NA,NA,NA,68,50,22,NA,0.0289737387269583,0.0425396002400685,NA,NA,NA,NA,NA,NA
1966,1.64705872447402,2.63110060861081,-1.61303304650567,0.226646703301054,-1.86033333333333,0.140004388852315,0.142933947772657,0.274838709677419,0.13741935483871,NA,NA,NA,47,27,0,NA,0.0602544362464975,0.0621223845722034,NA,NA,NA,NA,NA,NA
1967,1.49652590155602,4.18136892863262,-1.08433925319802,2.24278758962949,0.858,0.159359227561993,0.218268597761685,0.183225806451613,0.137849462365591,NA,NA,NA,41,41,7,NA,0.0306240535806838,0.0517170126456791,NA,NA,NA,NA,NA,NA
1968,1.46820042056066,2.63040258910185,-1.23937452272935,0.204940649596128,-0.273,0.178844218443773,0.129964510832142,0.198279569892473,0.180860215053763,NA,NA,NA,33,19,6,NA,0.0478472449748568,0.0373518638089669,NA,NA,NA,NA,NA,NA
1969,1.42118578807071,2.62235126377624,-1.24105647531423,0.513621308586814,-2.55333333333333,0.127781435154707,0.192264647794602,0.202150537634409,0.151397849462366,NA,NA,NA,23,20,0,NA,0.0531207461391624,0.0445213273751834,NA,NA,NA,NA,NA,NA
1970,1.77239811420441,2.56718877436202,-1.68297759457068,0.522345556454225,-1.94,0.117390827298661,0.126826859776169,0.214838709677419,0.163225806451613,NA,NA,NA,73,30,0,NA,0.0467425751518475,0.0465961598738775,NA,NA,NA,NA,NA,NA
1971,1.47001448814516,0.885219441151913,-1.5196837219325,-0.630507888215961,-0.725,0.17512617950406,0.1220320386219,0.242365591397849,0.150537634408602,NA,NA,NA,55,51,21,NA,0.0743289899882933,0.0597377983920024,NA,NA,NA,NA,NA,NA
1972,0.77620581443663,1.15203030756962,-1.39764667749405,0.558001192230167,-0.0563333333333333,0.173139467132793,0.141363419672652,0.144516129032258,0.209247311827957,NA,NA,NA,58,29,0,NA,0.0359693603371404,0.0612272804906848,NA,NA,NA,NA,NA,NA
1973,1.3007279496502,1.88921979272071,-1.28262225443667,-0.189798519466863,0.851,0.227079218784288,0.16395655036208,0.209677419354839,0.169677419354839,NA,NA,NA,43,31,8,NA,0.0563628663748739,0.0417781314565267,NA,NA,NA,NA,NA,NA
1974,1.51984624796444,2.46389971066404,-1.19890171397816,1.03404155825124,-0.334333333333333,0.214461268378319,0.1504498573623,0.211612903225806,0.208172043010753,NA,NA,NA,58,35,13,NA,0.0786859702100064,0.0403055765875623,NA,NA,NA,NA,NA,NA
1975,1.43815466827816,1.70232974710288,-1.26220083724369,0.338624589370959,0.645,0.19900153609831,0.128648233486943,0.22989247311828,0.123870967741935,NA,NA,NA,89,71,19,NA,0.0420313880964973,0.0340961344759753,NA,NA,NA,NA,NA,NA
1976,0.926989727108567,1.35432497402768,-1.37822498191487,-0.0839343495441206,0.760433333333333,0.243995974363049,0.0894115154404365,0.189462365591398,0.247096774193548,NA,NA,NA,89,76,47,NA,0.0441100949033171,0.0243776329972657,NA,NA,NA,NA,NA,NA
1977,1.86359019213253,2.6005080209838,-0.847936245528134,0.235160769838275,-1.812,0.155244678516568,0.0719003730524468,0.236559139784946,0.149247311827957,NA,NA,NA,90,78,12,NA,0.0319737154309,0.0433947668326903,NA,NA,NA,NA,NA,NA
1978,1.98267712085335,3.56282501529764,-1.37277059663426,1.36011485981219,-0.951666666666667,0.0976958525345622,0.208711871845512,0.183440860215054,0.221290322580645,NA,NA,NA,33,22,0,NA,0.0596341353849924,0.0415713526033581,NA,NA,NA,NA,NA,NA
1979,2.49766665145203,3.94597607593477,-0.937459573420611,1.63945321422635,-1.247,0.0884792626728111,0.252128593372833,0.0849462365591398,0.215698924731183,NA,NA,-175304,16,0,0,NA,0.0573260489536113,0.0691920320609197,NA,NA,NA,NA,NA,NA
1980,1.9716768487736,2.7731766268427,-0.728200907056982,0.685135221842563,-1.478,0.165490756925685,0.116621643095503,0.175698924731183,0.17741935483871,NA,NA,65183.5,54,43,17,NA,0.0887267504752711,0.05382907577336,NA,NA,NA,NA,NA,NA
1981,1.74620309207175,4.44933148887422,-1.08798738284545,1.53353615782478,-0.696,0.142593811718236,0.131928900592495,0.210322580645161,0.129462365591398,NA,NA,-5302.25,73,45,8,NA,0.0359811435341656,0.0242927757594188,NA,NA,NA,NA,NA,NA
1982,2.05461041750731,2.39969588760976,-1.1201969536868,0.596695894544775,0.387,0.207164801404433,0.176673249945139,0.118064516129032,0.234838709677419,NA,NA,-75967.5,40,14,0,NA,0.0305718614704778,0.0515329022064098,NA,NA,NA,NA,NA,NA
1983,1.66089615380322,3.7763807821421,-1.27974437583577,0.846719021146948,-0.339,0.101996927803379,0.14596225587009,0.14989247311828,0.104086021505376,NA,NA,39875.5,47,34,11,NA,0.0493546738778701,0.0328891352798667,NA,NA,NA,NA,NA,NA
1984,2.29558483273895,2.95518373339264,-1.06167689236728,0.94172085053993,-0.596,0.147068170983633,0.134562211981567,0.17505376344086,0.106236559139785,NA,NA,49979.75,29,19,0,NA,0.0548768577248518,0.04211931909004,NA,NA,NA,NA,NA,NA
1985,2.73862657524921,1.94152179581148,-1.13446197618138,-0.0766640151991989,-1.233,0.178527540048277,0.131709457976739,0.137849462365591,0.150752688172043,NA,NA,-65590.5,19,0,0,NA,0.0433405452224665,0.0560959554033984,NA,NA,NA,NA,NA,NA
1986,2.24127877244243,2.70328111928186,-0.932777775417675,1.21835682428244,-0.512666666666667,0.192604783849023,0.223337722185648,0.110537634408602,0.215913978494624,NA,NA,-20182.75,29,18,8,NA,0.0344258134001225,0.037126076065592,NA,NA,NA,NA,NA,NA
1987,2.75735578934352,3.44832820472894,-1.28377256826921,-0.157757956873287,-1.45666666666667,0.084825543120474,0.207384244020189,0.249247311827957,0.156989247311828,NA,NA,-19997.25,43,15,0,NA,0.0521850517789324,0.0357008116599087,NA,NA,NA,NA,NA,NA
1988,2.24032833708657,2.86372999423816,-1.11242952671918,1.32080592621456,-0.334,0.192822713067429,0.153631018592086,0.17010752688172,0.228172043010753,56942,2.1366848,54326,58,0,0,NA,0.0593032788210188,0.0404475754247451,NA,NA,NA,NA,NA,NA
1989,1.7054702312858,3.12135954035653,-1.09693579511209,1.39211809996403,2.64,0.14900153609831,0.184090410357691,0.124516129032258,0.149247311827957,29674,2.8847645,-125403,83,46,24,NA,0.0384226320116565,0.030845266335035,NA,NA,NA,NA,NA,NA
1990,1.78981044182071,3.26841864284174,-0.646095258539373,0.742608930125381,2.46333333333333,0.150296247531271,0.103138029405311,0.164301075268817,0.278924731182796,45313,2.0970684,73248,69,30,0,NA,0.0229373453859876,0.0346175478969793,NA,NA,NA,NA,NA,NA
1991,1.89337618439286,2.66527420944638,-0.878320794755762,0.3699521196611,-0.226666666666667,0.189137590520079,0.116008338819399,0.215698924731183,0.0778494623655914,40501,2.4874627,94273.75,64,25,6,NA,0.0468567239693277,0.0330538819948589,NA,NA,NA,NA,NA,NA
1992,2.02793793214692,2.92627311267971,-0.514540675553409,0.33839103308591,0.884666666666667,0.15505588219715,0.146453731659516,0.163010752688172,0.144086021505376,60551,1.6310127,85779.75,76,43,12,NA,0.042783517299543,0.0547784390626874,NA,NA,NA,NA,NA,NA
1993,1.69566713681927,3.70471251893927,-1.15536005171863,0.869331403212114,1.483,0.132082510423524,0.156265086679833,0.14494623655914,0.129677419354839,35288,2.8414414,-6670.75,71,44,26,NA,0.0755897684375846,0.0350469617557946,NA,NA,NA,NA,NA,NA
1994,2.59957925920133,3.41440218171956,-0.893672375245528,1.82671182805842,0.243333333333333,0.196499890278692,0.175499231950845,0.19010752688172,0.124086021505376,54135,1.6144828,30040.75,55,27,5,NA,0.0803574494254366,0.0454233340548151,NA,NA,NA,NA,NA,NA
1995,1.67179044948684,2.67152986703096,-1.41820652322336,0.958786469517332,0.556333333333333,0.249659863945578,0.123173140223831,0.20258064516129,0.117849462365591,71378,1.5247159,136191.75,76,53,23,NA,0.0483519844578285,0.0306369198914073,-0.858613115431868,-0.0029557712185877,0.279974812774125,0.125339668310158,-0.441363939292746,NA
1996,2.3161468801675,3.60165517602438,-1.21266728856347,1.72650663870754,-0.839,0.103554213676572,0.182880449176333,0.190752688172043,0.189247311827957,27669,3.2812155,-127824,31,8,0,NA,0.0722888090588447,0.0497482077382651,-1.18000809961659,-3.00395967959821,-0.785652474696462,-3.35150716378103,NA,1.06037801909163
1997,1.98002392848333,3.64210212800974,-0.677436745166779,1.4812819740989,0.841,0.164614878209348,0.156385780118499,0.151182795698925,0.201075268817204,43308,2.629096,-11795.75,30,30,15,NA,0.0396027478042567,0.0508048564513517,-1.37798326741027,1.36927814524408,-0.810157343780137,2.05069899793859,0.986144540060162,-0.79394284488736
1998,1.95675406411842,3.2578195889055,-0.657618245211515,-0.0611159456047145,-0.839,0.108514373491332,0.10817423743691,0.208817204301075,0.143655913978495,25664,3.1137143,98003,78,51,25,NA,0.0660584365808792,0.0572983751334806,-0.0923621041384522,0.23975097672571,0.58154644894302,-0.320673750467621,0.0716747292180078,0.150337598890932
1999,1.93445022724293,1.96793294633612,-1.38535409623926,0.60329292940371,-0.299333333333333,0.22677199912223,0.161981566820276,0.177204301075269,0.183010752688172,99047,0.7126801,126510.25,78,28,0,NA,0.0424435413515036,0.0316263213414779,-1.29407025752159,-1.01400374905718,-0.169064240777245,-0.248741978604682,-0.46687538959852,-0.719978431536068
2000,0.971216301344059,3.27808158780322,-1.5055062299425,0.592351394846584,0.633,0.204454685099846,0.176646008792839,0.143440860215054,0.144086021505376,59749,2.007781,93893.5,93,86,92,NA,0.0506836708467344,0.031655672024439,-0.46805288941234,-1.33510668114919,0.722379517077125,-0.15488648528825,-1.2426941800178,0.749639394018671
