"year","YLFN.R.age1.18.1a","TRBT.Age.0.R.16.1b","FHSL.R.age0","Opilio.age0.recruits","cod.age0.R","pollock.age0.R"
1953,1.95,NA,NA,NA,NA,NA
1954,1.389,NA,NA,NA,NA,NA
1955,0.951,NA,NA,NA,NA,NA
1956,3.225,NA,NA,NA,NA,NA
1957,2.35,NA,NA,NA,NA,NA
1958,1.811,NA,NA,NA,NA,NA
1959,1.713,NA,NA,NA,NA,NA
1960,0.992,46073,NA,NA,NA,NA
1961,1.887,82675,NA,NA,NA,NA
1962,0.994,185807,NA,NA,NA,NA
1963,0.92,437867,NA,NA,NA,6468
1964,1.191,484027,455615,NA,NA,21430
1965,1.214,204888,435985,NA,NA,15268
1966,2.547,85070,422282,NA,NA,25849
1967,3.892,44596,418335,NA,NA,22300
1968,3.985,29672,427371,NA,NA,26329
1969,5.254,24010,448528,NA,NA,23656
1970,5.84,23147,470738,NA,NA,14531
1971,4.592,26270,476659,NA,NA,11900
1972,3.181,35638,476513,NA,NA,27415
1973,4.279,59529,427138,NA,NA,20439
1974,5.027,119004,501793,NA,NA,17865
1975,3.306,209981,609171,NA,NA,14179
1976,4.163,147543,621030,NA,NA,15271
1977,2.727,93480,558901,191.9,825468,26979
1978,1.742,49205,804832,544.5,553645,63526
1979,3.372,17637,1065140,1288,559855,26328
1980,2.515,6022,1223000,5409,267150,32567
1981,7.29,1025,2262170,2284,148585,17430
1982,1.349,1999,976982,1077,772190,50111
1983,6.037,3289,702171,463.4,201748,13423
1984,2.088,6185,1352310,1196,779242,32323
1985,1.604,20233,2121820,1134,286881,12061
1986,2.192,5317,919482,1800,189896,6753
1987,3.005,5756,2409590,1909,106532,5653
1988,3.007,5897,579668,1584,252215,11823
1989,1.503,15803,1063110,360.4,608156,50409
1990,1.691,3848,1202660,281.2,517445,26294
1991,3.755,1131,1032960,307.7,332437,22203
1992,2.241,743,1003370,422.2,769721,45808
1993,1.892,606,795886,593.9,317834,15290
1994,1.904,954,771220,301.3,260675,10502
1995,4.697,3771,693230,245.6,240271,22768
1996,2.029,1612,1207050,223.4,656826,30871
1997,1.684,1641,1154200,680,299540,15163
1998,2.063,2145,1049860,1596,293149,16374
1999,2.891,8332,751622,744.3,600535,25496
2000,1.871,9648,788530,619.1,457627,34867
2001,2.536,11358,1095690,282.3,206697,23307
2002,2.446,1677,1362720,315.7,276764,14265
2003,3.813,614,1275090,2664,234954,6513
2004,1.688,547,333892,889.3,199734,4621
2005,1.929,801,819649,480.1,264694,11588
2006,2.399,7292,737612,562.4,815063,24929
2007,2.224,22137,555717,635.1,357509,13477
2008,2.594,48122,766015,486.2,1108580,49854
2009,3.698,33061,721013,1216,146002,21280
2010,1.26,6103,489730,2828,671321,13205
2011,0.671,4003,1828830,2754,995183,11572
2012,1.756,1904,714452,331.6,443680,53600
2013,2.643,2430,1429300,222,982145,50758
2014,3.92,2063,1613410,NA,175220,13168
2015,3.027,2458,NA,NA,244408,8423
2016,2.134,2168,NA,NA,157246,14806
2017,2.334,3182,NA,NA,76186,17486
2018,2.356,6041,NA,NA,NA,18517
