year,month,ao
1950,1,-6.03E-02
1950,2,6.27E-01
1950,3,-8.13E-03
1950,4,5.55E-01
1950,5,7.16E-02
1950,6,5.39E-01
1950,7,-8.02E-01
1950,8,-8.51E-01
1950,9,3.58E-01
1950,10,-3.79E-01
1950,11,-5.15E-01
1950,12,-1.93E+00
1951,1,-8.50E-02
1951,2,-4.00E-01
1951,3,-1.93E+00
1951,4,-7.76E-01
1951,5,-8.63E-01
1951,6,-9.18E-01
1951,7,9.00E-02
1951,8,-3.77E-01
1951,9,-8.18E-01
1951,10,-2.13E-01
1951,11,-6.85E-02
1951,12,1.99E+00
1952,1,3.68E-01
1952,2,-1.75E+00
1952,3,-1.86E+00
1952,4,5.39E-01
1952,5,-7.74E-01
1952,6,-4.41E-01
1952,7,3.83E-01
1952,8,-3.04E-02
1952,9,-3.83E-01
1952,10,-4.37E-01
1952,11,-1.89E+00
1952,12,-1.83E+00
1953,1,-1.04E+00
1953,2,-2.49E-01
1953,3,1.07E+00
1953,4,-1.26E+00
1953,5,-5.62E-01
1953,6,2.25E-02
1953,7,3.33E-01
1953,8,8.50E-02
1953,9,6.62E-01
1953,10,-1.94E-01
1953,11,3.54E-01
1953,12,5.75E-01
1954,1,-1.48E-01
1954,2,-1.81E-01
1954,3,4.76E-01
1954,4,5.12E-01
1954,5,-1.66E+00
1954,6,-2.68E-01
1954,7,3.41E-01
1954,8,-1.22E-01
1954,9,3.02E-01
1954,10,5.13E-01
1954,11,-3.28E-01
1954,12,5.53E-01
1955,1,-1.16E+00
1955,2,-1.54E+00
1955,3,-1.57E+00
1955,4,1.94E-01
1955,5,2.42E-01
1955,6,-2.66E-01
1955,7,3.32E-01
1955,8,7.60E-01
1955,9,3.57E-01
1955,10,9.91E-02
1955,11,-1.34E+00
1955,12,-4.44E-01
1956,1,-1.20E+00
1956,2,-2.03E+00
1956,3,4.70E-01
1956,4,-8.68E-01
1956,5,1.39E+00
1956,6,2.80E-01
1956,7,-2.15E-01
1956,8,-6.52E-01
1956,9,-2.02E-01
1956,10,1.14E+00
1956,11,-6.63E-02
1956,12,8.91E-04
1957,1,2.06E+00
1957,2,-1.51E+00
1957,3,-2.01E+00
1957,4,2.38E-01
1957,5,-9.66E-01
1957,6,-7.60E-01
1957,7,-6.46E-01
1957,8,9.69E-02
1957,9,-9.56E-01
1957,10,9.03E-01
1957,11,-1.38E+00
1957,12,8.28E-01
1958,1,-1.44E+00
1958,2,-2.23E+00
1958,3,-2.52E+00
1958,4,-3.60E-01
1958,5,-3.36E-01
1958,6,-1.15E+00
1958,7,-6.84E-01
1958,8,-7.55E-01
1958,9,-1.21E-02
1958,10,7.70E-01
1958,11,-1.07E-02
1958,12,-1.69E+00
1959,1,-2.01E+00
1959,2,2.54E+00
1959,3,1.43E+00
1959,4,1.19E-01
1959,5,-3.41E-01
1959,6,-3.34E-02
1959,7,1.05E-01
1959,8,-7.45E-01
1959,9,-2.81E-01
1959,10,-2.49E-01
1959,11,-1.41E+00
1959,12,-4.20E-02
1960,1,-2.48E+00
1960,2,-2.21E+00
1960,3,-1.62E+00
1960,4,-2.97E-01
1960,5,-8.57E-01
1960,6,5.50E-02
1960,7,-6.19E-01
1960,8,-1.01E+00
1960,9,-3.82E-01
1960,10,-1.19E+00
1960,11,-5.53E-01
1960,12,-3.43E-01
1961,1,-1.51E+00
1961,2,6.21E-01
1961,3,3.41E-01
1961,4,-2.37E-01
1961,5,1.57E-01
1961,6,8.37E-01
1961,7,-1.08E-01
1961,8,1.27E-02
1961,9,8.15E-01
1961,10,2.03E-01
1961,11,-1.04E-02
1961,12,-1.67E+00
1962,1,1.64E+00
1962,2,-3.58E-01
1962,3,-2.85E+00
1962,4,1.17E+00
1962,5,6.80E-02
1962,6,2.87E-01
1962,7,-9.27E-01
1962,8,1.52E-01
1962,9,-5.60E-02
1962,10,-1.58E-02
1962,11,-1.11E+00
1962,12,-7.11E-01
1963,1,-3.31E+00
1963,2,-1.72E+00
1963,3,7.24E-01
1963,4,-3.48E-01
1963,5,7.71E-01
1963,6,-5.85E-01
1963,7,-3.03E-01
1963,8,-6.25E-01
1963,9,8.31E-02
1963,10,1.07E+00
1963,11,-4.19E-01
1963,12,-1.18E+00
1964,1,3.85E-01
1964,2,-5.75E-01
1964,3,-5.58E-01
1964,4,6.63E-01
1964,5,1.17E+00
1964,6,1.42E-01
1964,7,7.34E-01
1964,8,-1.21E+00
1964,9,-2.27E-01
1964,10,3.42E-01
